Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,male,18-24,inactive,ad,50,57,1.14,7-day click or 1-day view,,,0.43976137,,09/05/2024,30/04/2025,1,0.43976137,7.71511182,3.50877193,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,18-24,inactive,ad,36,48,1.33333333,7-day click or 1-day view,,,0.38977749,,09/05/2024,30/04/2025,,,8.12036443,2.08333333,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,18-24,inactive,ad,36,46,1.27777778,7-day click or 1-day view,,,0.38953293,,09/05/2024,30/04/2025,1,0.38953293,8.46810726,2.17391304,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,18-24,inactive,ad,27,40,1.48148148,7-day click or 1-day view,,,0.18,,09/05/2024,30/04/2025,,,4.5,2.5,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,unknown,18-24,inactive,ad,32,39,1.21875,7-day click or 1-day view,,,0.24996875,,09/05/2024,30/04/2025,,,6.40945518,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,35-44,active,ad,30,37,1.23333333,7-day click or 1-day view,,,0.27,,09/05/2024,30/04/2025,,,7.2972973,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,male,45-54,inactive,ad,20,36,1.8,7-day click or 1-day view,,,0.77990251,,09/05/2024,30/04/2025,1,0.77990251,21.6639585,2.77777778,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,45-54,inactive,ad,12,35,2.91666667,7-day click or 1-day view,,,0.44995088,,09/05/2024,30/04/2025,,,12.85573955,2.85714286,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,45-54,active,ad,26,32,1.23076923,7-day click or 1-day view,,,0.56,,09/05/2024,30/04/2025,,,17.5,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,unknown,18-24,inactive,ad,24,30,1.25,7-day click or 1-day view,,,0.13992407,,09/05/2024,30/04/2025,,,4.66413578,0,01/02/2025,28/02/2025
