Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,male,25-34,inactive,ad,143,187,1.30769231,7-day click or 1-day view,,,1.65486862,,09/05/2024,30/04/2025,1,1.65486862,8.84956484,0.53475936,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,25-34,inactive,ad,164,178,1.08536585,7-day click or 1-day view,,,2.27,,09/05/2024,30/04/2025,3,0.75666667,12.75280899,3.37078652,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,35-44,not_delivering,ad,128,173,1.3515625,7-day click or 1-day view,Link clicks,1,0.66991759,0.66991759,17/12/2024,Ongoing,1,0.66991759,3.87235599,0.57803468,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,35-44,inactive,ad,118,173,1.46610169,7-day click or 1-day view,,,2.4796274,,09/05/2024,30/04/2025,,,14.33310638,0.57803468,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,male,35-44,inactive,ad,130,144,1.10769231,7-day click or 1-day view,quoteReceived,1,1.53,1.53,09/05/2024,30/04/2025,,,10.625,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,male,35-44,inactive,ad,100,135,1.35,7-day click or 1-day view,,,1.11653787,,09/05/2024,30/04/2025,,,8.27065087,0.74074074,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,35-44,inactive,ad,78,130,1.66666667,7-day click or 1-day view,,,1.33908407,,09/05/2024,30/04/2025,,,10.30064672,0,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,18-24,not_delivering,ad,76,119,1.56578947,7-day click or 1-day view,,,1.1696076,,09/01/2025,Ongoing,,,9.82863531,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,18-24,inactive,ad,66,111,1.68181818,7-day click or 1-day view,,,0.72950103,,09/05/2024,30/04/2025,1,0.72950103,6.57208131,1.8018018,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,45-54,not_delivering,ad,40,103,2.575,7-day click or 1-day view,Link clicks,2,0.37995326,0.18997663,17/12/2024,Ongoing,2,0.18997663,3.68886658,1.94174757,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,45-54,not_delivering,ad,69,96,1.39130435,7-day click or 1-day view,,,1.69942985,,09/01/2025,Ongoing,3,0.56647662,17.70239426,3.125,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,unknown,25-34,inactive,ad,75,95,1.26666667,7-day click or 1-day view,,,0.57,,09/05/2024,30/04/2025,,,6,3.15789474,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,35-44,not_delivering,ad,72,90,1.25,7-day click or 1-day view,,,2.80905757,,09/01/2025,Ongoing,,,31.21175082,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,35-44,inactive,ad,47,78,1.65957447,7-day click or 1-day view,,,0.76925819,,09/05/2024,30/04/2025,1,0.76925819,9.86228447,1.28205128,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,55-64,not_delivering,ad,63,74,1.17460317,7-day click or 1-day view,,,1.07963779,,09/01/2025,Ongoing,,,14.58969982,0,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,male,25-34,inactive,ad,65,68,1.04615385,7-day click or 1-day view,,,0.88,,09/05/2024,30/04/2025,4,0.22,12.94117647,10.29411765,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,25-34,inactive,ad,54,67,1.24074074,7-day click or 1-day view,,,0.4984544,,09/05/2024,30/04/2025,,,7.43961798,1.49253731,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,18-24,inactive,ad,42,66,1.57142857,7-day click or 1-day view,,,0.36994441,,09/05/2024,30/04/2025,1,0.36994441,5.60521835,4.54545455,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,male,18-24,inactive,ad,52,65,1.25,7-day click or 1-day view,quoteReceived,1,0.44,0.44,09/05/2024,30/04/2025,3,0.14666667,6.76923077,12.30769231,01/01/2025,31/01/2025
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,25-34,not_delivering,ad,49,61,1.24489796,7-day click or 1-day view,Meta leads,1,0.79973169,0.79973169,09/01/2025,Ongoing,1,0.79973169,13.11035563,3.27868852,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,unknown,35-44,inactive,ad,48,61,1.27083333,7-day click or 1-day view,,,0.72,,09/05/2024,30/04/2025,1,0.72,11.80327869,3.27868852,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,male,35-44,inactive,ad,52,59,1.13461538,7-day click or 1-day view,,,0.83,,09/05/2024,30/04/2025,1,0.83,14.06779661,5.08474576,01/01/2025,31/01/2025
